summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,violation_county,street_name,intersecting_street,date_first_observed,law_section,sub_division,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle,vehicle_year,meter_number,feet_from_curb,violation_in_front_of_or_opposite,house_number,time_first_observed,violation_description,violation_legal_code,violation_post_code,lat,lon
9065945362,15864NA,NY,COM,2023-07-10T00:00:00.000,48,PICK,CHEVR,T,11710,37030,37050,20250131.0,33.0,33,33,370736,T103,L,0119P,NY,Amsterdam Ave,,0,408,E9,YYYYYYY,,,WH,,2019,,0,F,2090,,48-Bike Lane,,08,40.8369771,-73.9394092
9050154803,KXM9520,NY,PAS,2023-07-05T00:00:00.000,37,SUBN,FORD,T,15210,10710,13310,20241031.0,6.0,6,6,373264,T102,V,1229P,NY,Christopher St,,0,408,H1,YYYYYY,0830A,1000P,WH,,2008,106663,0,O,79,1142A,37-Expired Parking Meter,,57,40.7336599,-74.0034623
2013154010,KHB5926,NY,PAS,2023-07-28T00:00:00.000,21,SUBN,HYUND,S,35170,44990,21045,20241105.0,20.0,20,0,588436,MN07,,0857A,NY,WEST 70 STREET,,0,408,d1,Y  Y,0800A,0930A,GY,,2020,,0,O,315,00000,No Parking Street Cleaning,,,40.7789956,-73.9860946
2013808458,1DE1687,MD,PAS,2023-08-18T00:00:00.000,21,SUBN,MITSU,S,47630,85730,85330,0.0,81.0,81,0,921396,KN03,,0105P,Kings,HART STREET,,0,408,d1,Y  Y,1200P,0130P,GY,,0,,0,F,170,00000,No Parking Street Cleaning,,,40.6934455,-73.9447993
9043478039,12824NB,NY,COM,2023-07-14T00:00:00.000,20,VAN,CHEVR,T,34110,10610,10810,20250228.0,10.0,10,10,370317,T102,M,1212P,NY,W 17th St,,0,408,D,YYYYY,0800A,0600P,WH,,2021,,0,F,258,,20-No Parking (Com Plate),,99,40.7412747,-74.0006711
9058833902,KBR2208,NY,PAS,2023-07-18T00:00:00.000,71,PICK,RAM,T,34210,10410,10510,88888888.0,13.0,13,13,367370,T102,K,1140A,NY,W 22nd St,,0,408,J6,YYYYYYY,,,BLACK,,0,,0,F,44,,71-Insp. Sticker Missing (NYS,,10,40.7416256,-73.9924168
9062689050,29093ML,NY,COM,2023-07-21T00:00:00.000,14,VAN,RAM,T,34410,10410,13610,88888888.0,14.0,14,14,370807,T102,Q,0944A,NY,W 32nd St,,0,408,C,YYYYYYY,,,BROWN,,2017,,0,O,1,,14-No Standing,,01,40.7473818,-73.9858082
2013343188,05AMPV,FL,PAS,2023-08-21T00:00:00.000,21,SUBN,SUBAR,S,11620,52710,13820,0.0,47.0,47,0,0,BX11,,0725A,Bronx,BAYCHESTER AVENUE,,0,408,d1,,0700A,0730A,WH,,0,,0,O,3443,00000,No Parking Street Cleaning,,,40.8801828,-73.8383517
2012760107,CYPHH,NY,PAS,2023-07-03T00:00:00.000,50,4DSD,HONDA,S,68420,27120,27150,0.0,46.0,46,0,612338,BX05,,0631A,Bronx,TIEBOUT AVENUE,,0,408,e5,,,,BL,,0,,0,O,2235,00000,Crosswalk,,,40.8553982,-73.8982288
9065328713,87627MK,NY,COM,2023-07-20T00:00:00.000,46,VAN,FORD,T,12010,37570,37590,20230831.0,34.0,34,34,368922,T103,M,0336P,NY,Audubon Ave,,0,408,F1,YYYYYYY,,,WH,,2017,,0,F,530,,46B-Double Parking (Com-100Ft),,E,40.8553973,-73.9276552
